male:ANT-x, male:ANT-y, male:ANT-z, male:C7-x, male:C7-y, male:C7-z, male:CLAV-x, male:CLAV-y, male:CLAV-z, male:LANK-x, male:LANK-y, male:LANK-z, male:LBWT-x, male:LBWT-y, male:LBWT-z, male:LELB-x, male:LELB-y, male:LELB-z, male:LFHD-x, male:LFHD-y, male:LFHD-z, male:LFIN-x, male:LFIN-y, male:LFIN-z, male:LFRM-x, male:LFRM-y, male:LFRM-z, male:LFWT-x, male:LFWT-y, male:LFWT-z, male:LHEE-x, male:LHEE-y, male:LHEE-z, male:LKNE-x, male:LKNE-y, male:LKNE-z, male:LMT5-x, male:LMT5-y, male:LMT5-z, male:LSHN-x, male:LSHN-y, male:LSHN-z, male:LSHO-x, male:LSHO-y, male:LSHO-z, male:LTHI-x, male:LTHI-y, male:LTHI-z, male:LTOE-x, male:LTOE-y, male:LTOE-z, male:LUPA-x, male:LUPA-y, male:LUPA-z, male:LWRA-x, male:LWRA-y, male:LWRA-z, male:LWRB-x, male:LWRB-y, male:LWRB-z, male:NOSE-x, male:NOSE-y, male:NOSE-z, male:RANK-x, male:RANK-y, male:RANK-z, male:RBAC-x, male:RBAC-y, male:RBAC-z, male:RBWT-x, male:RBWT-y, male:RBWT-z, male:RELB-x, male:RELB-y, male:RELB-z, male:RFHD-x, male:RFHD-y, male:RFHD-z, male:RFIN-x, male:RFIN-y, male:RFIN-z, male:RFRM-x, male:RFRM-y, male:RFRM-z, male:RFWT-x, male:RFWT-y, male:RFWT-z, male:RHEE-x, male:RHEE-y, male:RHEE-z, male:RKNE-x, male:RKNE-y, male:RKNE-z, male:RMT5-x, male:RMT5-y, male:RMT5-z, male:RSHN-x, male:RSHN-y, male:RSHN-z, male:RSHO-x, male:RSHO-y, male:RSHO-z, male:RTHI-x, male:RTHI-y, male:RTHI-z, male:RTOE-x, male:RTOE-y, male:RTOE-z, male:RUPA-x, male:RUPA-y, male:RUPA-z, male:RWRA-x, male:RWRA-y, male:RWRA-z, male:RWRB-x, male:RWRB-y, male:RWRB-z, male:STRN-x, male:STRN-y, male:STRN-z, male:T10-x, male:T10-y, male:T10-z
-1688.63134765625, -149.577590942383, 1789.22131347656, -1787.1640625, -46.1540145874023, 1526.32348632812, -1655.11364746094, -49.5701751708984, 1457.76745605469, -1856.05310058594, 88.4771118164062, 75.5520553588867, -1879.11022949219, 1.59727156162262, 1042.22021484375, -1763.46228027344, 246.684494018555, 1157.65808105469, -1637.63232421875, 19.2232475280762, 1696.42529296875, -1583.220703125, 275.869964599609, 848.578125, -1708.19799804688, 270.076171875, 1001.39068603516, -1677.55395507812, 89.5685882568359, 1028.64379882812, -1901.67492675781, 41.376838684082, 44.163745880127, -1770.28442382812, 114.297203063965, 500.001281738281, -1733.66638183594, 118.855773925781, 20.1415328979492, -1831.92456054688, 127.952186584473, 270.394744873047, -1724.01818847656, 125.256813049316, 1496.30139160156, -1751.8212890625, 130.989898681641, 625.258361816406, -1669.75439453125, 94.2013549804688, 18.9302368164062, -1763.62194824219, 226.979019165039, 1252.73193359375, -1583.26062011719, 256.473205566406, 921.034790039062, -1643.89489746094, 286.125091552734, 889.529663085938, -1600.38220214844, -55.8592529296875, 1704.23461914062, -1863.51806640625, -163.407257080078, 84.6959075927734, -1857.55700683594, -171.314514160156, 1390.6572265625, -1879.67126464844, -85.7287292480469, 1037.97509765625, -1794.71069335938, -310.9658203125, 1117.80285644531, -1635.40209960938, -136.590591430664, 1698.79541015625, -1676.02136230469, -388.538818359375, 790.192260742188, -1778.67919921875, -337.965576171875, 1040.1240234375, -1662.615234375, -146.653366088867, 1030.9326171875, -1905.74084472656, -113.747665405273, 42.4931831359863, -1735.01928710938, -185.151763916016, 496.188903808594, -1739.2158203125, -199.443862915039, 23.5184898376465, -1776.193359375, -204.577438354492, 379.788970947266, -1739.98913574219, -221.809448242188, 1470.88171386719, -1731.55847167969, -214.419998168945, 729.510192871094, -1672.40734863281, -179.722747802734, 18.8250732421875, -1780.63635253906, -295.971221923828, 1302.75073242188, -1657.14929199219, -368.034118652344, 863.924377441406, -1730.61291503906, -373.197540283203, 843.303344726562, -1616.42504882812, -31.7882900238037, 1253.4130859375, -1863.00671386719, -27.4183101654053, 1256.68395996094
-1688.53295898438, -149.817687988281, 1789.18896484375, -1786.6630859375, -46.3320388793945, 1526.34973144531, -1654.83764648438, -50.0149383544922, 1458.08239746094, -1855.94030761719, 88.4881896972656, 75.6220245361328, -1878.93994140625, 1.50165438652039, 1042.26220703125, -1763.009765625, 245.885787963867, 1157.42456054688, -1636.90661621094, 18.8873081207275, 1696.43359375, -1584.95812988281, 273.749877929688, 846.61865234375, -1708.52331542969, 268.873077392578, 1000.36791992188, -1677.16357421875, 89.2655334472656, 1028.64416503906, -1901.62829589844, 41.3974647521973, 44.2512550354004, -1770.18518066406, 114.055480957031, 500.03515625, -1733.55236816406, 118.847160339355, 20.134672164917, -1831.84680175781, 127.872901916504, 270.473510742188, -1722.82348632812, 125.158638000488, 1496.08251953125, -1751.50646972656, 130.747146606445, 625.255859375, -1669.72424316406, 94.1910552978516, 18.8749580383301, -1763.30749511719, 226.34504699707, 1252.7685546875, -1584.67016601562, 254.396484375, 919.29345703125, -1645.24633789062, 284.635314941406, 888.187438964844, -1599.81616210938, -56.278392791748, 1704.22961425781, -1863.54943847656, -163.42546081543, 84.748893737793, -1857.31323242188, -171.363693237305, 1390.72509765625, -1879.63000488281, -85.840217590332, 1038.05053710938, -1795.38537597656, -311.4697265625, 1118.056640625, -1635.41064453125, -137.073196411133, 1698.90112304688, -1677.18591308594, -389.913360595703, 790.365112304688, -1779.48522949219, -338.575012207031, 1040.31286621094, -1662.56420898438, -147.829452514648, 1029.81066894531, -1905.73706054688, -113.746627807617, 42.5275726318359, -1735.1142578125, -185.351669311523, 496.148773193359, -1739.2236328125, -199.490982055664, 23.4312038421631, -1776.3046875, -204.721755981445, 379.827209472656, -1739.88671875, -222.024597167969, 1470.89147949219, -1731.71142578125, -214.649078369141, 729.520751953125, -1672.44226074219, -179.771484375, 18.8097190856934, -1780.99890136719, -296.402984619141, 1302.97680664062, -1658.24169921875, -369.424011230469, 864.207580566406, -1731.54602050781, -374.106964111328, 843.510803222656, -1615.95068359375, -32.4028129577637, 1253.39794921875, -1862.77490234375, -27.4813995361328, 1256.78515625
-1688.38366699219, -150.142303466797, 1789.12341308594, -1786.212890625, -46.4696273803711, 1526.376953125, -1654.56176757812, -50.4597053527832, 1458.39733886719, -1855.90502929688, 88.5134735107422, 75.7187347412109, -1878.89965820312, 1.33227205276489, 1042.41333007812, -1762.48034667969, 245.249801635742, 1157.09606933594, -1636.18078613281, 18.5513668060303, 1696.44189453125, -1586.60961914062, 271.220031738281, 844.607727050781, -1709.81066894531, 267.720153808594, 1000.05590820312, -1676.77331542969, 88.9624862670898, 1028.64440917969, -1901.44885253906, 41.4908866882324, 44.2133178710938, -1769.97351074219, 113.88306427002, 500.015045166016, -1732.85668945312, 118.810646057129, 20.1911010742188, -1831.74462890625, 127.776039123535, 270.537536621094, -1722.06555175781, 124.911224365234, 1495.98120117188, -1751.49865722656, 130.571640014648, 625.297607421875, -1669.72375488281, 94.1736221313477, 18.9090614318848, -1762.38146972656, 226.005081176758, 1252.29858398438, -1585.90698242188, 252.43994140625, 917.528625488281, -1646.45275878906, 283.178466796875, 886.831359863281, -1599.25012207031, -56.6975326538086, 1704.22448730469, -1863.60485839844, -163.42448425293, 84.7936706542969, -1857.3505859375, -171.480987548828, 1390.88793945312, -1879.50390625, -85.8658752441406, 1038.09094238281, -1796.11608886719, -311.983856201172, 1118.37817382812, -1634.6728515625, -137.271484375, 1698.66784667969, -1678.49450683594, -391.223114013672, 790.654663085938, -1780.33325195312, -339.276885986328, 1040.6484375, -1662.51306152344, -149.005554199219, 1028.68872070312, -1905.73657226562, -113.741607666016, 42.6014251708984, -1735.22399902344, -185.504425048828, 496.162231445312, -1739.17431640625, -199.512069702148, 23.4115734100342, -1776.44091796875, -204.860168457031, 379.889434814453, -1740.00598144531, -222.430404663086, 1471.05700683594, -1731.77648925781, -214.875778198242, 729.523620605469, -1672.43212890625, -179.755477905273, 18.7770366668701, -1781.23413085938, -296.663360595703, 1303.15502929688, -1659.26989746094, -370.707305908203, 864.453918457031, -1733.24450683594, -375.373321533203, 844.175170898438, -1614.72705078125, -33.071720123291, 1253.73425292969, -1862.55029296875, -27.6075420379639, 1256.89807128906
-1688.53662109375, -150.588531494141, 1789.20544433594, -1785.73596191406, -46.5932350158691, 1526.39929199219, -1654.25695800781, -50.8757247924805, 1458.19702148438, -1855.88098144531, 88.4701385498047, 75.7894515991211, -1878.65771484375, 1.23819243907928, 1042.49584960938, -1762.203125, 244.389297485352, 1156.89721679688, -1635.94091796875, 18.0805702209473, 1696.66882324219, -1589.02294921875, 269.069152832031, 842.898559570312, -1710.30603027344, 266.561676025391, 999.363708496094, -1676.29479980469, 88.5016632080078, 1028.50256347656, -1901.47778320312, 41.4315719604492, 44.3499183654785, -1769.96826171875, 113.660667419434, 500.067657470703, -1733.55859375, 118.843544006348, 20.2074642181396, -1831.54663085938, 127.695861816406, 270.560729980469, -1721.52600097656, 124.534950256348, 1495.93041992188, -1750.9853515625, 130.367324829102, 625.286376953125, -1669.73034667969, 94.1598434448242, 18.8800716400146, -1762.19653320312, 225.379959106445, 1252.36401367188, -1588.46228027344, 250.392715454102, 915.586242675781, -1648.376953125, 281.534545898438, 885.739440917969, -1599.15185546875, -57.2406234741211, 1704.44665527344, -1863.59582519531, -163.457336425781, 84.8219833374023, -1857.18725585938, -171.533843994141, 1391.03820800781, -1879.53173828125, -86.0129928588867, 1038.22143554688, -1796.71520996094, -312.370391845703, 1118.63537597656, -1634.80322265625, -137.798110961914, 1698.84912109375, -1679.5009765625, -392.188201904297, 790.829040527344, -1780.94067382812, -339.716827392578, 1040.86682128906, -1662.52258300781, -150.345916748047, 1027.58703613281, -1905.64416503906, -113.744209289551, 42.6322441101074, -1735.24426269531, -185.686019897461, 496.209625244141, -1739.19360351562, -199.549499511719, 23.3791198730469, -1776.54528808594, -205.026550292969, 379.937683105469, -1739.88549804688, -222.725524902344, 1471.16015625, -1731.84155273438, -215.134887695312, 729.579528808594, -1672.39697265625, -179.765121459961, 18.752254486084, -1781.29565429688, -296.884307861328, 1303.23498535156, -1660.22827148438, -371.668121337891, 864.566650390625, -1734.10083007812, -376.092346191406, 844.33203125, -1614.64270019531, -33.6615219116211, 1253.53149414062, -1862.37292480469, -27.7479114532471, 1257.04699707031
-1688.50671386719, -150.916473388672, 1789.21520996094, -1785.30310058594, -46.7492065429688, 1526.43713378906, -1654.22802734375, -51.1097030639648, 1458.19348144531, -1855.84240722656, 88.4492034912109, 75.867431640625, -1878.48962402344, 1.10662913322449, 1042.60791015625, -1761.83959960938, 243.614776611328, 1156.67431640625, -1635.37036132812, 17.6799659729004, 1696.88671875, -1591.15356445312, 266.870513916016, 841.067993164062, -1711.142578125, 265.391265869141, 998.79541015625, -1675.61279296875, 87.9405288696289, 1028.38403320312, -1901.42761230469, 41.4253540039062, 44.4239921569824, -1770.06103515625, 113.429725646973, 500.11181640625, -1733.66589355469, 118.8447265625, 20.2360401153564, -1831.40832519531, 127.601348876953, 270.619598388672, -1720.82214355469, 124.246810913086, 1495.83959960938, -1750.6767578125, 130.18310546875, 625.291442871094, -1669.73864746094, 94.1470718383789, 18.8687114715576, -1761.75073242188, 224.854278564453, 1252.24072265625, -1590.38342285156, 248.417739868164, 913.801513671875, -1650.03271484375, 279.985534667969, 884.559387207031, -1598.80578613281, -57.7583656311035, 1704.61047363281, -1863.6044921875, -163.483657836914, 84.8628540039062, -1857.0654296875, -171.617050170898, 1391.18908691406, -1879.49560546875, -86.129638671875, 1038.31726074219, -1797.30981445312, -312.766723632812, 1118.88256835938, -1634.64709472656, -138.189880371094, 1698.88403320312, -1680.61145019531, -393.234313964844, 791.045959472656, -1781.66442871094, -340.230102539062, 1041.11499023438, -1662.48547363281, -151.656402587891, 1026.39697265625, -1905.59240722656, -113.751014709473, 42.6882858276367, -1735.29821777344, -185.877532958984, 496.252227783203, -1739.18664550781, -199.581954956055, 23.3418140411377, -1776.62561035156, -205.186370849609, 379.984741210938, -1739.7900390625, -223.014221191406, 1471.248046875, -1731.91369628906, -215.401275634766, 729.616271972656, -1672.38159179688, -179.773803710938, 18.7310180664062, -1781.51330566406, -297.154724121094, 1303.4130859375, -1661.30285644531, -372.7216796875, 864.67919921875, -1735.17321777344, -376.907165527344, 844.620666503906, -1614.54614257812, -34.2393226623535, 1253.46325683594, -1862.16333007812, -27.8849906921387, 1257.15759277344
-1688.44409179688, -151.226684570312, 1789.21789550781, -1784.90026855469, -46.9199638366699, 1526.48852539062, -1654.35620117188, -51.2177238464355, 1458.13171386719, -1855.80700683594, 88.4209976196289, 75.9428939819336, -1878.32568359375, 0.96188896894455, 1042.7265625, -1761.5087890625, 242.842346191406, 1156.47180175781, -1634.76867675781, 17.2801246643066, 1697.17761230469, -1593.3828125, 264.742828369141, 839.288757324219, -1712.06958007812, 264.220367431641, 998.272277832031, -1674.24011230469, 86.8777542114258, 1028.18725585938, -1901.37731933594, 41.4118309020996, 44.4954299926758, -1770.22534179688, 113.193023681641, 500.166015625, -1733.78991699219, 118.841751098633, 20.2639484405518, -1831.28271484375, 127.499801635742, 270.689727783203, -1720.16491699219, 123.947410583496, 1495.76257324219, -1750.36743164062, 130.008392333984, 625.294982910156, -1669.75341796875, 94.1353378295898, 18.859712600708, -1761.28637695312, 224.344680786133, 1252.091796875, -1592.29528808594, 246.482696533203, 912.07421875, -1651.76599121094, 278.451202392578, 883.435852050781, -1598.46337890625, -58.2944259643555, 1704.81958007812, -1863.60473632812, -163.514724731445, 84.9072418212891, -1856.95520019531, -171.717376708984, 1391.35729980469, -1879.4423828125, -86.2534866333008, 1038.40515136719, -1797.86047363281, -313.125701904297, 1119.11804199219, -1634.49499511719, -138.56867980957, 1698.92370605469, -1681.67431640625, -394.161926269531, 791.24560546875, -1782.35034179688, -340.692504882812, 1041.34606933594, -1662.44250488281, -152.940719604492, 1025.24182128906, -1905.53942871094, -113.769165039062, 42.7588310241699, -1735.34106445312, -186.076614379883, 496.310302734375, -1739.18115234375, -199.611831665039, 23.3066692352295, -1776.67797851562, -205.345932006836, 380.028778076172, -1739.69091796875, -223.303009033203, 1471.34777832031, -1731.97705078125, -215.686187744141, 729.650939941406, -1672.36645507812, -179.780029296875, 18.711820602417, -1781.75451660156, -297.413208007812, 1303.61547851562, -1662.36499023438, -373.666839599609, 864.74267578125, -1736.18200683594, -377.625885009766, 844.874389648438, -1614.48657226562, -34.8044013977051, 1253.40771484375, -1861.96069335938, -28.0403327941895, 1257.26318359375
-1688.33081054688, -151.510604858398, 1789.21643066406, -1784.517578125, -47.1058578491211, 1526.55090332031, -1654.89611816406, -53.0298309326172, 1458.94567871094, -1855.771484375, 88.3860931396484, 76.0171508789062, -1878.16088867188, 0.80860435962677, 1042.84143066406, -1761.23120117188, 242.064254760742, 1156.29113769531, -1634.9794921875, 16.8461894989014, 1697.04089355469, -1595.71838378906, 262.721252441406, 837.551635742188, -1713.06115722656, 263.040679931641, 997.775512695312, -1672.81506347656, 85.7691955566406, 1027.9775390625, -1901.34020996094, 41.3832931518555, 44.5745239257812, -1770.38500976562, 112.95288848877, 500.224731445312, -1733.908203125, 118.833190917969, 20.2860774993896, -1831.17407226562, 127.386009216309, 270.777648925781, -1719.52648925781, 123.653190612793, 1495.69494628906, -1750.07067871094, 129.83235168457, 625.300903320312, -1669.7744140625, 94.1217422485352, 18.8531799316406, -1760.83337402344, 223.831756591797, 1251.93579101562, -1594.13781738281, 244.603546142578, 910.416442871094, -1653.56286621094, 276.948638916016, 882.365783691406, -1598.56823730469, -58.6453285217285, 1704.81433105469, -1863.59362792969, -163.541107177734, 84.9490280151367, -1856.85107421875, -171.838394165039, 1391.54846191406, -1879.37438964844, -86.389404296875, 1038.49011230469, -1798.36889648438, -313.447875976562, 1119.33911132812, -1634.35510253906, -138.93440246582, 1698.97485351562, -1682.66284179688, -394.964141845703, 791.410949707031, -1782.99072265625, -341.097259521484, 1041.55297851562, -1662.40686035156, -154.128845214844, 1024.17468261719, -1905.49096679688, -113.796897888184, 42.8482475280762, -1735.37194824219, -186.28059387207, 496.373565673828, -1739.17517089844, -199.64094543457, 23.2708740234375, -1776.70202636719, -205.501083374023, 380.067077636719, -1739.58508300781, -223.585433959961, 1471.4560546875, -1732.02978515625, -215.978622436523, 729.681396484375, -1672.349609375, -179.783905029297, 18.6921844482422, -1782.0458984375, -297.684478759766, 1303.85852050781, -1663.37646484375, -374.498962402344, 864.784545898438, -1737.08972167969, -378.231658935547, 845.077026367188, -1614.33862304688, -35.3594207763672, 1253.37194824219, -1861.75854492188, -28.2093067169189, 1257.36291503906
-1688.16491699219, -151.765274047852, 1789.20227050781, -1784.15368652344, -47.3045387268066, 1526.62487792969, -1655.35961914062, -54.4097557067871, 1459.56530761719, -1855.72790527344, 88.3456878662109, 76.0857696533203, -1877.99694824219, 0.647293150424957, 1042.94689941406, -1760.990234375, 241.293991088867, 1156.123046875, -1634.99182128906, 16.4547233581543, 1697.00427246094, -1598.12854003906, 260.784515380859, 835.854858398438, -1714.09301757812, 261.883148193359, 997.290222167969, -1671.34436035156, 84.6230545043945, 1027.76538085938, -1901.29724121094, 41.3509712219238, 44.6460494995117, -1770.46252441406, 112.720657348633, 500.286224365234, -1733.91174316406, 118.801834106445, 20.2920570373535, -1831.0927734375, 127.260559082031, 270.878173828125, -1718.90454101562, 123.36791229248, 1495.63830566406, -1749.82287597656, 129.646270751953, 625.3271484375, -1669.79443359375, 94.1102066040039, 18.8501930236816, -1760.38562011719, 223.324172973633, 1251.76501464844, -1595.84338378906, 242.757019042969, 908.849304199219, -1655.36047363281, 275.502258300781, 881.338684082031, -1598.54760742188, -58.9989967346191, 1704.85766601562, -1863.57482910156, -163.560592651367, 84.9849472045898, -1856.76086425781, -171.980651855469, 1391.75415039062, -1879.27893066406, -86.5285034179688, 1038.55993652344, -1798.83911132812, -313.737213134766, 1119.54858398438, -1634.17321777344, -139.267776489258, 1699.01904296875, -1683.59533691406, -395.657196044922, 791.55224609375, -1783.58068847656, -341.448455810547, 1041.736328125, -1662.41088867188, -155.148544311523, 1023.28533935547, -1905.443359375, -113.829475402832, 42.9537887573242, -1735.38818359375, -186.483657836914, 496.440765380859, -1739.16577148438, -199.667617797852, 23.2321453094482, -1776.705078125, -205.650360107422, 380.099822998047, -1739.48217773438, -223.867919921875, 1471.57507324219, -1732.06628417969, -216.268692016602, 729.708740234375, -1672.33227539062, -179.785003662109, 18.6703433990479, -1782.35620117188, -297.959259033203, 1304.1240234375, -1664.30944824219, -375.219787597656, 864.816772460938, -1737.93444824219, -378.747680664062, 845.258605957031, -1614.00805664062, -35.897876739502, 1253.39807128906, -1861.55505371094, -28.391565322876, 1257.45458984375
-1687.98376464844, -152.013687133789, 1789.18566894531, -1783.79187011719, -47.5015335083008, 1526.69995117188, -1655.69604492188, -55.7722091674805, 1460.17346191406, -1855.67810058594, 88.3032302856445, 76.1472244262695, -1877.82104492188, 0.482021242380142, 1043.03076171875, -1760.79187011719, 240.534027099609, 1155.95715332031, -1635.03247070312, 16.0981845855713, 1696.94677734375, -1600.61022949219, 258.9248046875, 834.212219238281, -1715.09558105469, 260.770538330078, 996.800231933594, -1670.15185546875, 83.6763687133789, 1027.57385253906, -1901.25720214844, 41.3120498657227, 44.7099075317383, -1770.41064453125, 112.491271972656, 500.34912109375, -1733.8759765625, 118.752952575684, 20.2827758789062, -1831.02209472656, 127.126846313477, 270.981109619141, -1718.31726074219, 123.081169128418, 1495.59411621094, -1749.56958007812, 129.436248779297, 625.34765625, -1669.80859375, 94.1029052734375, 18.8455829620361, -1759.974609375, 222.819763183594, 1251.58923339844, -1597.51171875, 240.96142578125, 907.350646972656, -1657.16198730469, 274.115570068359, 880.351928710938, -1598.52099609375, -59.3015670776367, 1704.89074707031, -1863.5478515625, -163.573394775391, 85.0157241821289, -1856.67016601562, -172.137878417969, 1391.96667480469, -1879.16064453125, -86.6731414794922, 1038.61413574219, -1799.28735351562, -314.003845214844, 1119.7548828125, -1633.98547363281, -139.585845947266, 1699.07507324219, -1684.46081542969, -396.233489990234, 791.664672851562, -1784.12341308594, -341.7509765625, 1041.90344238281, -1662.46801757812, -155.958343505859, 1022.64514160156, -1905.39428710938, -113.862670898438, 43.0699424743652, -1735.39221191406, -186.678619384766, 496.503082275391, -1739.15625, -199.694244384766, 23.1956043243408, -1776.6982421875, -205.791854858398, 380.128326416016, -1739.39294433594, -224.163101196289, 1471.70910644531, -1732.0693359375, -216.537643432617, 729.728820800781, -1672.3134765625, -179.784072875977, 18.6461601257324, -1782.64477539062, -298.234283447266, 1304.38134765625, -1665.13073730469, -375.817230224609, 864.858154296875, -1738.72485351562, -379.179077148438, 845.421264648438, -1613.50183105469, -36.4151649475098, 1253.44677734375, -1861.35144042969, -28.5801048278809, 1257.54284667969
-1687.83312988281, -152.259033203125, 1789.18420410156, -1783.44274902344, -47.6965293884277, 1526.77917480469, -1655.75537109375, -56.4861717224121, 1460.4345703125, -1855.63171386719, 88.2507476806641, 76.2152862548828, -1877.61779785156, 0.318902313709259, 1043.08032226562, -1760.63781738281, 239.774185180664, 1155.78991699219, -1634.82409667969, 15.7848920822144, 1697.03271484375, -1603.10461425781, 257.125885009766, 832.624206542969, -1716.041015625, 259.707397460938, 996.312805175781, -1669.4111328125, 83.0422515869141, 1027.43139648438, -1901.21118164062, 41.265625, 44.7700080871582, -1770.236328125, 112.260231018066, 500.405792236328, -1733.78649902344, 118.691505432129, 20.261905670166, -1830.95971679688, 126.991271972656, 271.074188232422, -1717.76477050781, 122.792900085449, 1495.55932617188, -1749.30126953125, 129.186431884766, 625.369506835938, -1669.82238769531, 94.094352722168, 18.8466529846191, -1759.64343261719, 222.290969848633, 1251.43969726562, -1599.16589355469, 239.218399047852, 905.902709960938, -1658.95458984375, 272.792449951172, 879.411010742188, -1598.3505859375, -59.6264991760254, 1705.00720214844, -1863.50451660156, -163.576370239258, 85.0361709594727, -1856.56762695312, -172.305435180664, 1392.16784667969, -1879.03344726562, -86.8275299072266, 1038.66027832031, -1799.68664550781, -314.234924316406, 1119.94226074219, -1633.80895996094, -139.890960693359, 1699.15148925781, -1685.27087402344, -396.704895019531, 791.756958007812, -1784.61242675781, -342.001312255859, 1042.04821777344, -1662.53491210938, -156.556015014648, 1022.24359130859, -1905.34313964844, -113.889442443848, 43.1906394958496, -1735.37683105469, -186.859649658203, 496.551483154297, -1739.14331054688, -199.718414306641, 23.1556911468506, -1776.67858886719, -205.929931640625, 380.150665283203, -1739.29931640625, -224.460891723633, 1471.84423828125, -1732.04028320312, -216.78352355957, 729.747192382812, -1672.29284667969, -179.779434204102, 18.6213264465332, -1782.88916015625, -298.514709472656, 1304.61437988281, -1665.84204101562, -376.304138183594, 864.910095214844, -1739.46484375, -379.526763916016, 845.57275390625, -1613.01293945312, -36.9081115722656, 1253.49523925781, -1861.14562988281, -28.7707080841064, 1257.62658691406
