male:C7-x, male:C7-y, male:C7-z, male:CLAV-x, male:CLAV-y, male:CLAV-z, male:LANK-x, male:LANK-y, male:LANK-z, male:LBHD-x, male:LBHD-y, male:LBHD-z, male:LBWT-x, male:LBWT-y, male:LBWT-z, male:LELB-x, male:LELB-y, male:LELB-z, male:LFHD-x, male:LFHD-y, male:LFHD-z, male:LFIN-x, male:LFIN-y, male:LFIN-z, male:LFRM-x, male:LFRM-y, male:LFRM-z, male:LFWT-x, male:LFWT-y, male:LFWT-z, male:LHEE-x, male:LHEE-y, male:LHEE-z, male:LKNE-x, male:LKNE-y, male:LKNE-z, male:LMT5-x, male:LMT5-y, male:LMT5-z, male:LSHN-x, male:LSHN-y, male:LSHN-z, male:LSHO-x, male:LSHO-y, male:LSHO-z, male:LTHI-x, male:LTHI-y, male:LTHI-z, male:LTOE-x, male:LTOE-y, male:LTOE-z, male:LUPA-x, male:LUPA-y, male:LUPA-z, male:LWRA-x, male:LWRA-y, male:LWRA-z, male:LWRB-x, male:LWRB-y, male:LWRB-z, male:RANK-x, male:RANK-y, male:RANK-z, male:RBAC-x, male:RBAC-y, male:RBAC-z, male:RBHD-x, male:RBHD-y, male:RBHD-z, male:RBWT-x, male:RBWT-y, male:RBWT-z, male:RELB-x, male:RELB-y, male:RELB-z, male:RFHD-x, male:RFHD-y, male:RFHD-z, male:RFIN-x, male:RFIN-y, male:RFIN-z, male:RFRM-x, male:RFRM-y, male:RFRM-z, male:RFWT-x, male:RFWT-y, male:RFWT-z, male:RHEE-x, male:RHEE-y, male:RHEE-z, male:RKNE-x, male:RKNE-y, male:RKNE-z, male:RMT5-x, male:RMT5-y, male:RMT5-z, male:RSHN-x, male:RSHN-y, male:RSHN-z, male:RSHO-x, male:RSHO-y, male:RSHO-z, male:RTHI-x, male:RTHI-y, male:RTHI-z, male:RTOE-x, male:RTOE-y, male:RTOE-z, male:RUPA-x, male:RUPA-y, male:RUPA-z, male:RWRA-x, male:RWRA-y, male:RWRA-z, male:RWRB-x, male:RWRB-y, male:RWRB-z, male:STRN-x, male:STRN-y, male:STRN-z, male:T10-x, male:T10-y, male:T10-z
-1988.85900878906, -125.863639831543, 1381.78247070312, -1884.24597167969, -160.90104675293, 1298.15710449219, -1733.12768554688, -14.0022687911987, 77.2633056640625, -1950.52416992188, -93.0161361694336, 1509.89624023438, -2077.74047851562, -71.0338287353516, 844.812805175781, -1836.79577636719, 128.686187744141, 978.850830078125, -1796.65344238281, -101.027534484863, 1548.15686035156, -1550.72106933594, -23.1374015808105, 1038.55334472656, -1705.94665527344, 56.0502243041992, 951.070495605469, -1874.13879394531, -63.9569053649902, 834.659973144531, -1799.41320800781, -53.1334991455078, 50.9417686462402, -1598.43151855469, 28.5366153717041, 488.143035888672, -1637.70788574219, 4.45366191864014, 38.8111686706543, -1675.84167480469, 15.7845611572266, 252.241653442383, -1912.75451660156, 26.4214057922363, 1308.61926269531, -1684.06909179688, 35.964771270752, 586.548217773438, -1546.38781738281, -43.6806678771973, 42.2037963867188, -1874.12353515625, 115.102142333984, 1091.35632324219, -1619.25939941406, -44.3166542053223, 1095.31213378906, -1541.06481933594, 11.1166801452637, 977.760131835938, -2535.27661132812, -293.159332275391, 90.7499923706055, -2111.82055664062, -203.939559936523, 1251.58850097656, -1970.798828125, -172.907135009766, 1508.67004394531, -2113.57983398438, -166.913101196289, 863.972473144531, -2134.978515625, -449.638122558594, 1038.26086425781, -1834.61450195312, -247.452682495117, 1539.76391601562, -1799.67114257812, -470.626586914062, 1005.46856689453, -2050.06591796875, -465.413391113281, 980.581665039062, -1982.47375488281, -324.781799316406, 851.657043457031, -2565.56176757812, -226.920166015625, 67.8672866821289, -2223.14282226562, -391.663177490234, 373.261566162109, -2500.13012695312, -386.987030029297, 42.6494750976562, -2340.8017578125, -371.839080810547, 308.7900390625, -2011.03625488281, -293.129730224609, 1334.66882324219, -2089.74243164062, -385.152923583984, 608.473022460938, -2400.51953125, -403.274688720703, 40.0341796875, -2077.7890625, -380.178192138672, 1206.341796875, -1842.64501953125, -379.457763671875, 1045.45263671875, -1836.42517089844, -514.97119140625, 981.997314453125, -1835.53515625, -178.859069824219, 1065.93005371094, -2081.71240234375, -113.20719909668, 1061.89526367188
-1988.79870605469, -125.920257568359, 1381.75073242188, -1884.38598632812, -161.037322998047, 1298.13842773438, -1733.12951660156, -14.0787782669067, 77.2748641967773, -1950.44958496094, -93.0536880493164, 1509.83471679688, -2077.65576171875, -71.0720062255859, 844.77294921875, -1836.6416015625, 128.635787963867, 978.894897460938, -1796.59741210938, -101.091033935547, 1548.083984375, -1550.53747558594, -23.2389945983887, 1038.59057617188, -1705.89990234375, 55.9337348937988, 951.046752929688, -1874.06079101562, -64.0010375976562, 834.629333496094, -1799.41320800781, -53.1334991455078, 50.9417686462402, -1598.3173828125, 28.4084300994873, 488.122497558594, -1637.697265625, 4.41003847122192, 38.8062324523926, -1675.76684570312, 15.6680002212524, 252.252578735352, -1912.6171875, 26.3524188995361, 1308.64465332031, -1684.02331542969, 35.8757591247559, 586.552307128906, -1546.45520019531, -43.6957092285156, 42.2173461914062, -1873.99182128906, 115.086273193359, 1091.38879394531, -1619.02697753906, -44.4462738037109, 1095.34704589844, -1540.84020996094, 10.9752025604248, 977.801391601562, -2535.30346679688, -293.15087890625, 90.7337188720703, -2111.73266601562, -203.994827270508, 1251.53637695312, -1970.8369140625, -172.934448242188, 1508.62365722656, -2113.51098632812, -166.966979980469, 863.901611328125, -2134.90649414062, -449.6669921875, 1038.18090820312, -1834.66174316406, -247.524215698242, 1539.7724609375, -1799.66809082031, -470.683197021484, 1005.45446777344, -2050.03857421875, -465.416107177734, 980.485717773438, -1982.39868164062, -324.82421875, 851.560241699219, -2565.58447265625, -226.94856262207, 67.8573455810547, -2223.03540039062, -391.748413085938, 373.154754638672, -2499.9150390625, -386.946594238281, 42.6246337890625, -2340.73583984375, -371.874481201172, 308.746795654297, -2010.90051269531, -293.207763671875, 1334.56787109375, -2089.70239257812, -385.213256835938, 608.366088867188, -2400.54858398438, -403.284912109375, 40.0420684814453, -2077.77416992188, -380.200469970703, 1206.27172851562, -1842.60717773438, -379.500457763672, 1045.42663574219, -1836.36413574219, -514.993286132812, 981.904907226562, -1835.4794921875, -178.86799621582, 1065.92102050781, -2081.63110351562, -113.253601074219, 1061.85375976562
-1988.73583984375, -125.96418762207, 1381.7119140625, -1884.22045898438, -161.062683105469, 1298.16931152344, -1733.05920410156, -14.1298408508301, 77.2519226074219, -1950.48779296875, -93.0871276855469, 1509.82202148438, -2077.62524414062, -71.1221313476562, 844.716979980469, -1836.44274902344, 128.589111328125, 978.900268554688, -1796.54418945312, -101.178764343262, 1548.09411621094, -1550.40319824219, -23.3434677124023, 1038.5849609375, -1705.59838867188, 55.8370780944824, 951.140930175781, -1873.97583007812, -64.0366134643555, 834.582946777344, -1799.35656738281, -53.2033386230469, 50.9452896118164, -1598.19091796875, 28.2668304443359, 488.055358886719, -1637.70007324219, 4.39890623092651, 38.8189392089844, -1675.69519042969, 15.5863008499146, 252.218719482422, -1912.51013183594, 26.3180541992188, 1308.66748046875, -1683.8984375, 35.7503395080566, 586.486511230469, -1546.36706542969, -43.720458984375, 42.1884384155273, -1873.76904296875, 115.017799377441, 1091.40185546875, -1618.87048339844, -44.5032997131348, 1095.33801269531, -1540.68029785156, 10.8509693145752, 977.801147460938, -2535.24365234375, -293.145721435547, 90.7273178100586, -2111.6826171875, -204.00862121582, 1251.48889160156, -1970.822265625, -172.981964111328, 1508.61254882812, -2113.50439453125, -167.04020690918, 863.904479980469, -2134.8955078125, -449.671295166016, 1038.10913085938, -1834.71203613281, -247.601684570312, 1539.78015136719, -1799.69140625, -470.759399414062, 1005.39776611328, -2050.04345703125, -465.421630859375, 980.403137207031, -1982.32873535156, -324.802154541016, 851.460815429688, -2565.56176757812, -226.920166015625, 67.8672866821289, -2222.98657226562, -391.77197265625, 373.081329345703, -2499.888671875, -386.940002441406, 42.6155395507812, -2340.72583007812, -371.872192382812, 308.698760986328, -2010.89758300781, -293.259216308594, 1334.52514648438, -2089.54248046875, -385.273956298828, 608.224548339844, -2400.54052734375, -403.294128417969, 40.0014991760254, -2077.76831054688, -380.297393798828, 1206.23767089844, -1842.64538574219, -379.613891601562, 1045.4482421875, -1836.40368652344, -515.076354980469, 981.803405761719, -1835.59436035156, -178.945175170898, 1065.84338378906, -2081.56420898438, -113.295600891113, 1061.78771972656
-1988.69860839844, -125.980758666992, 1381.68334960938, -1884.09399414062, -161.126754760742, 1298.18078613281, -1733.00817871094, -14.1139430999756, 77.2281646728516, -1950.44177246094, -93.120002746582, 1509.77612304688, -2077.52319335938, -71.1911010742188, 844.728271484375, -1836.30822753906, 128.559234619141, 978.955444335938, -1796.59448242188, -101.249794006348, 1548.06494140625, -1550.22216796875, -23.4344673156738, 1038.57568359375, -1705.86865234375, 55.6238555908203, 951.023498535156, -1873.87646484375, -64.1221389770508, 834.486511230469, -1799.4365234375, -53.2038192749023, 50.9831008911133, -1598.12524414062, 28.1461277008057, 488.046508789062, -1637.65490722656, 4.39001941680908, 38.7993316650391, -1675.66857910156, 15.5447778701782, 252.210845947266, -1912.39038085938, 26.2823085784912, 1308.6474609375, -1683.87719726562, 35.6741256713867, 586.465698242188, -1546.36938476562, -43.7416725158691, 42.1719169616699, -1873.66064453125, 114.995491027832, 1091.40954589844, -1618.689453125, -44.5828399658203, 1095.40698242188, -1540.50256347656, 10.7106857299805, 977.767150878906, -2535.32861328125, -293.148956298828, 90.7853775024414, -2111.64428710938, -204.040832519531, 1251.44372558594, -1970.83825683594, -173.002990722656, 1508.56823730469, -2113.4677734375, -167.150085449219, 863.883422851562, -2134.91528320312, -449.6728515625, 1038.06677246094, -1834.70141601562, -247.66828918457, 1539.76232910156, -1799.63488769531, -470.825317382812, 1005.26861572266, -2050.00512695312, -465.442230224609, 980.309997558594, -1982.25866699219, -324.856140136719, 851.399108886719, -2565.5615234375, -226.923141479492, 67.9024658203125, -2222.96484375, -391.825988769531, 373.003295898438, -2500.16918945312, -387.001800537109, 42.6373672485352, -2340.67504882812, -371.919250488281, 308.619201660156, -2010.90637207031, -293.25634765625, 1334.51452636719, -2089.4169921875, -385.29150390625, 608.106750488281, -2400.56469726562, -403.300445556641, 40.0037384033203, -2077.6845703125, -380.337860107422, 1206.1435546875, -1842.62548828125, -379.728790283203, 1045.42541503906, -1836.39099121094, -515.131164550781, 981.658996582031, -1835.53076171875, -178.994354248047, 1065.76452636719, -2081.51489257812, -113.336822509766, 1061.76611328125
-1988.45483398438, -126.181983947754, 1381.56188964844, -1884.12756347656, -161.213562011719, 1298.10815429688, -1733.03881835938, -14.1141033172607, 77.2619705200195, -1949.97717285156, -93.5400924682617, 1509.57482910156, -2077.60424804688, -71.2632446289062, 844.691284179688, -1836.09020996094, 128.521102905273, 978.952514648438, -1796.53039550781, -101.342819213867, 1548.05017089844, -1550.1416015625, -23.5091209411621, 1038.60046386719, -1705.55310058594, 55.6146011352539, 951.127197265625, -1873.82080078125, -64.1496124267578, 834.445434570312, -1799.35656738281, -53.2033386230469, 50.9452896118164, -1598.06860351562, 28.0488243103027, 488.042297363281, -1637.68969726562, 4.37419652938843, 38.8096160888672, -1675.57470703125, 15.4855041503906, 252.225509643555, -1912.14697265625, 26.1077251434326, 1308.58715820312, -1683.7421875, 35.5649833679199, 586.458129882812, -1546.37646484375, -43.7348403930664, 42.1811828613281, -1873.41735839844, 114.916786193848, 1091.41760253906, -1618.49731445312, -44.6170959472656, 1095.42956542969, -1540.34631347656, 10.5698804855347, 977.753173828125, -2535.21899414062, -293.110107421875, 90.7663040161133, -2111.30419921875, -204.323226928711, 1251.32946777344, -1970.46496582031, -173.161819458008, 1508.47436523438, -2113.4521484375, -167.220291137695, 863.8447265625, -2134.9013671875, -449.684753417969, 1038.00012207031, -1834.59997558594, -247.814865112305, 1539.76098632812, -1799.35363769531, -470.946624755859, 1005.30572509766, -2050.01416015625, -465.445007324219, 980.21728515625, -1982.21411132812, -324.9169921875, 851.327514648438, -2565.4853515625, -226.900421142578, 67.8990020751953, -2222.91357421875, -391.8896484375, 372.946472167969, -2500.06616210938, -386.950500488281, 42.6333961486816, -2340.6171875, -371.910949707031, 308.593170166016, -2010.86596679688, -293.349517822266, 1334.48706054688, -2089.44677734375, -385.288818359375, 608.028991699219, -2400.52270507812, -403.329528808594, 39.9803810119629, -2077.50244140625, -380.422760009766, 1206.10583496094, -1842.39562988281, -379.959655761719, 1045.43078613281, -1836.41271972656, -515.37255859375, 981.534057617188, -1835.44702148438, -179.11897277832, 1065.74914550781, -2081.45776367188, -113.370986938477, 1061.74829101562
-1988.59484863281, -126.049339294434, 1381.59582519531, -1883.98937988281, -161.247192382812, 1298.05310058594, -1733.02966308594, -14.12047290802, 77.2199478149414, -1950.26086425781, -93.2036437988281, 1509.71496582031, -2077.54125976562, -71.3229064941406, 844.670715332031, -1835.89965820312, 128.460952758789, 978.947265625, -1796.43005371094, -101.410545349121, 1548.03991699219, -1549.90112304688, -23.657693862915, 1038.646484375, -1705.53002929688, 55.5177192687988, 951.095275878906, -1873.7001953125, -64.2505264282227, 834.340576171875, -1799.37829589844, -53.1944465637207, 50.9472694396973, -1598.02587890625, 27.9541664123535, 488.051116943359, -1637.71826171875, 4.37368297576904, 38.7965393066406, -1675.57312011719, 15.4787120819092, 252.230743408203, -1912.14916992188, 26.1965198516846, 1308.61413574219, -1683.73083496094, 35.4931526184082, 586.411682128906, -1546.3662109375, -43.7405662536621, 42.1833152770996, -1873.18347167969, 114.872886657715, 1091.4091796875, -1618.32983398438, -44.7349281311035, 1095.49169921875, -1540.21569824219, 10.4857473373413, 977.790588378906, -2535.11694335938, -293.142913818359, 90.7183532714844, -2111.56323242188, -204.101913452148, 1251.36669921875, -1970.70373535156, -173.068969726562, 1508.46716308594, -2113.43627929688, -167.289337158203, 863.809448242188, -2134.81958007812, -449.675903320312, 1037.9052734375, -1834.68273925781, -247.853790283203, 1539.67858886719, -1799.59704589844, -471.071685791016, 1005.10968017578, -2049.98999023438, -465.438629150391, 980.146728515625, -1982.17895507812, -324.987426757812, 851.3037109375, -2565.46899414062, -226.886962890625, 67.851188659668, -2222.84106445312, -391.912017822266, 372.888061523438, -2499.85205078125, -386.885131835938, 42.6068840026855, -2340.50366210938, -371.934448242188, 308.5361328125, -2010.82922363281, -293.354156494141, 1334.44873046875, -2089.513671875, -385.279754638672, 607.917846679688, -2400.48608398438, -403.361541748047, 39.9774208068848, -2077.55639648438, -380.412567138672, 1206.08386230469, -1842.5302734375, -379.928924560547, 1045.32629394531, -1836.37841796875, -515.271484375, 981.428100585938, -1835.38146972656, -179.219802856445, 1065.66821289062, -2081.33642578125, -113.407379150391, 1061.71960449219
-1988.53137207031, -126.09008026123, 1381.56225585938, -1883.83117675781, -161.271148681641, 1298.04357910156, -1733.04235839844, -14.1201391220093, 77.2308959960938, -1950.14782714844, -93.2517547607422, 1509.69775390625, -2077.48950195312, -71.3823318481445, 844.660400390625, -1835.65246582031, 128.398300170898, 978.907043457031, -1796.40478515625, -101.524803161621, 1548.01782226562, -1549.77722167969, -23.7522792816162, 1038.68225097656, -1705.45483398438, 55.41943359375, 951.0966796875, -1873.79052734375, -64.2234573364258, 834.272644042969, -1799.37829589844, -53.1944465637207, 50.9472694396973, -1597.96008300781, 27.8479804992676, 488.011047363281, -1637.70373535156, 4.37731122970581, 38.7942695617676, -1675.55383300781, 15.4612674713135, 252.223251342773, -1911.98596191406, 26.1591987609863, 1308.57690429688, -1683.6689453125, 35.4454765319824, 586.376586914062, -1546.38586425781, -43.7337913513184, 42.1524200439453, -1873.06140136719, 114.864646911621, 1091.38500976562, -1618.16198730469, -44.7962913513184, 1095.51428222656, -1540.01232910156, 10.3687896728516, 977.840881347656, -2535.146484375, -293.132141113281, 90.7055130004883, -2111.46362304688, -204.121109008789, 1251.31652832031, -1970.6181640625, -173.134796142578, 1508.42028808594, -2113.39013671875, -167.344177246094, 863.749206542969, -2134.80712890625, -449.649230957031, 1037.89807128906, -1834.54736328125, -247.878952026367, 1539.6201171875, -1799.58874511719, -471.211883544922, 1005.02746582031, -2049.91430664062, -465.440612792969, 980.064514160156, -1982.07458496094, -325.047485351562, 851.237854003906, -2565.48168945312, -226.880569458008, 67.8930435180664, -2222.77221679688, -391.967163085938, 372.871643066406, -2499.87109375, -386.936309814453, 42.6129264831543, -2340.55151367188, -371.970581054688, 308.553436279297, -2010.81384277344, -293.407348632812, 1334.46533203125, -2089.13549804688, -385.298522949219, 607.8974609375, -2400.52587890625, -403.333831787109, 39.980224609375, -2077.51416015625, -380.450073242188, 1206.02954101562, -1842.4404296875, -380.018218994141, 1045.26647949219, -1836.43566894531, -515.357299804688, 981.344299316406, -1835.31311035156, -179.306884765625, 1065.63903808594, -2081.25170898438, -113.442878723145, 1061.71166992188
-1988.45007324219, -126.12922668457, 1381.53015136719, -1883.80676269531, -161.352493286133, 1298.04248046875, -1733.04919433594, -14.1331872940063, 77.2506866455078, -1950.04418945312, -93.2905502319336, 1509.681640625, -2077.44677734375, -71.4538116455078, 844.648742675781, -1835.43078613281, 128.357650756836, 978.893432617188, -1796.25720214844, -101.628356933594, 1547.97912597656, -1549.57824707031, -23.8555545806885, 1038.74011230469, -1705.04528808594, 55.4151153564453, 951.139221191406, -1873.63879394531, -64.2753219604492, 834.239501953125, -1799.48083496094, -53.1218681335449, 50.9791488647461, -1597.85180664062, 27.7696781158447, 487.970825195312, -1637.71447753906, 4.38052082061768, 38.8153877258301, -1675.49780273438, 15.4159421920776, 252.202941894531, -1911.87536621094, 26.0945777893066, 1308.56298828125, -1683.57971191406, 35.3496780395508, 586.366516113281, -1546.34777832031, -43.724666595459, 42.1539039611816, -1872.86364746094, 114.821022033691, 1091.3779296875, -1618.02587890625, -44.9215927124023, 1095.57263183594, -1539.80871582031, 10.2527008056641, 977.9013671875, -2535.18139648438, -293.119262695312, 90.7509002685547, -2111.4365234375, -204.166046142578, 1251.30187988281, -1970.54211425781, -173.175399780273, 1508.3759765625, -2113.36059570312, -167.415924072266, 863.723876953125, -2134.76831054688, -449.635711669922, 1037.83508300781, -1834.521484375, -247.989974975586, 1539.560546875, -1799.55688476562, -471.282073974609, 1004.95483398438, -2049.88745117188, -465.463745117188, 980.022094726562, -1981.99719238281, -325.142822265625, 851.204406738281, -2565.46337890625, -226.882476806641, 67.876106262207, -2222.79028320312, -391.9697265625, 372.861633300781, -2499.85180664062, -386.889312744141, 42.6051788330078, -2340.43017578125, -371.979339599609, 308.494964599609, -2010.77209472656, -293.446075439453, 1334.41198730469, -2089.07934570312, -385.300506591797, 607.786193847656, -2400.568359375, -403.375701904297, 39.9483032226562, -2077.48461914062, -380.492095947266, 1206.01293945312, -1842.40856933594, -380.141967773438, 1045.18591308594, -1836.45776367188, -515.438842773438, 981.282531738281, -1835.20739746094, -179.382675170898, 1065.62658691406, -2081.14868164062, -113.480445861816, 1061.66345214844
-1988.37109375, -126.165786743164, 1381.546875, -1883.7109375, -161.43913269043, 1298.00305175781, -1733.03332519531, -14.1609106063843, 77.2548828125, -1949.93188476562, -93.3617706298828, 1509.65307617188, -2077.29663085938, -71.5247955322266, 844.633544921875, -1835.19506835938, 128.285308837891, 978.911376953125, -1796.1513671875, -101.740089416504, 1547.97155761719, -1549.45483398438, -23.9813079833984, 1038.83142089844, -1704.82092285156, 55.3214492797852, 951.200378417969, -1873.56896972656, -64.3344345092773, 834.174865722656, -1799.37817382812, -53.1944465637207, 50.9472122192383, -1597.71667480469, 27.689208984375, 487.948028564453, -1637.74670410156, 4.38184881210327, 38.7893905639648, -1675.47229003906, 15.3421678543091, 252.1953125, -1911.7763671875, 26.0309429168701, 1308.49633789062, -1683.52648925781, 35.3046340942383, 586.344421386719, -1546.37353515625, -43.693244934082, 42.1623420715332, -1872.67785644531, 114.796714782715, 1091.37854003906, -1617.91125488281, -45.0094757080078, 1095.62475585938, -1539.62243652344, 10.1412010192871, 977.960266113281, -2535.11572265625, -293.133850097656, 90.7195281982422, -2111.28173828125, -204.228302001953, 1251.25573730469, -1970.42700195312, -173.241226196289, 1508.34729003906, -2113.24145507812, -167.497131347656, 863.682189941406, -2134.76831054688, -449.6357421875, 1037.83508300781, -1834.44641113281, -248.094207763672, 1539.5341796875, -1799.4609375, -471.407989501953, 1004.83392333984, -2049.89819335938, -465.496398925781, 980.011291503906, -1981.90454101562, -325.234252929688, 851.165588378906, -2565.47094726562, -226.899200439453, 67.8830947875977, -2222.86987304688, -391.972076416016, 372.807891845703, -2499.80395507812, -386.922760009766, 42.6015205383301, -2340.40258789062, -371.974761962891, 308.438781738281, -2010.65026855469, -293.503265380859, 1334.39086914062, -2088.78247070312, -385.348022460938, 607.870544433594, -2400.59912109375, -403.364166259766, 39.9292144775391, -2077.40869140625, -380.497650146484, 1205.98461914062, -1842.35473632812, -380.193206787109, 1045.1162109375, -1836.435546875, -515.549987792969, 981.280517578125, -1835.29907226562, -179.459228515625, 1065.60278320312, -2081.0986328125, -113.527648925781, 1061.63500976562
-1988.26232910156, -126.236442565918, 1381.50402832031, -1883.51440429688, -161.510528564453, 1297.91809082031, -1732.98413085938, -14.201171875, 77.2426452636719, -1949.78601074219, -93.4353942871094, 1509.62329101562, -2077.2841796875, -71.5978088378906, 844.740417480469, -1835.01318359375, 128.250473022461, 978.927917480469, -1795.99194335938, -101.868194580078, 1547.9423828125, -1549.22192382812, -24.1065502166748, 1038.86962890625, -1704.64978027344, 55.1826438903809, 951.230407714844, -1873.44738769531, -64.3727264404297, 834.147277832031, -1799.36364746094, -53.1965866088867, 50.9871635437012, -1597.66967773438, 27.6662883758545, 487.927551269531, -1637.70715332031, 4.34916067123413, 38.7860336303711, -1675.38854980469, 15.3218011856079, 252.205322265625, -1911.67065429688, 25.9479370117188, 1308.46423339844, -1683.50085449219, 35.2687835693359, 586.338928222656, -1546.32006835938, -43.7014122009277, 42.1588668823242, -1872.51257324219, 114.756637573242, 1091.38659667969, -1617.80139160156, -45.1236038208008, 1095.64526367188, -1539.38024902344, 10.024806022644, 978.047668457031, -2535.228515625, -293.113586425781, 90.7447204589844, -2111.3134765625, -204.274597167969, 1251.27722167969, -1970.32250976562, -173.29460144043, 1508.31701660156, -2113.11743164062, -167.533157348633, 863.67138671875, -2134.74536132812, -449.647674560547, 1037.8076171875, -1834.41833496094, -248.225463867188, 1539.51245117188, -1799.45751953125, -471.5048828125, 1004.78637695312, -2049.810546875, -465.527282714844, 979.943115234375, -1981.79895019531, -325.300109863281, 851.145568847656, -2565.46997070312, -226.904418945312, 67.8831787109375, -2222.76977539062, -391.94921875, 372.80078125, -2499.90112304688, -386.918212890625, 42.5831108093262, -2340.45703125, -372.002349853516, 308.475311279297, -2010.63549804688, -293.573028564453, 1334.39636230469, -2088.7119140625, -385.404235839844, 607.841857910156, -2400.62890625, -403.383880615234, 39.969482421875, -2077.345703125, -380.552062988281, 1205.94897460938, -1842.22448730469, -380.259704589844, 1044.95703125, -1836.4638671875, -515.703552246094, 981.239562988281, -1835.14904785156, -179.503677368164, 1065.57531738281, -2081.03002929688, -113.588409423828, 1061.640625
